xYear,xMonth,State,County,Age_Group,rundatetime,PatCount_Opioid,Population
2025,1,CA,Santa Cruz,=< 14 yrs,07SEP2025:04:03:55,25,"293,319"
2025,1,CA,Shasta,=< 14 yrs,07SEP2025:04:03:55,22,"186,541"
2025,1,CA,Sierra,=< 14 yrs,07SEP2025:04:03:55,0,"2,755"
2025,1,CA,Siskiyou,=< 14 yrs,07SEP2025:04:03:55,1,"44,533"
2025,1,CA,Solano,=< 14 yrs,07SEP2025:04:03:55,49,"440,759"
2025,1,CA,Sonoma,=< 14 yrs,07SEP2025:04:03:55,56,"500,203"
2025,1,CA,Stanislaus,=< 14 yrs,07SEP2025:04:03:55,61,"547,424"
2025,1,CA,Sutter,=< 14 yrs,07SEP2025:04:03:55,10,"95,364"
2025,1,CA,Tehama,=< 14 yrs,07SEP2025:04:03:55,9,"55,078"
2025,1,CA,Trinity,=< 14 yrs,07SEP2025:04:03:55,0,"12,562"
2025,1,CA,Tulare,=< 14 yrs,07SEP2025:04:03:55,69,"458,532"
2025,1,CA,Tuolumne,=< 14 yrs,07SEP2025:04:03:55,12,"52,508"
2025,1,CA,Ventura,=< 14 yrs,07SEP2025:04:03:55,94,"852,332"
2025,1,CA,Yolo,=< 14 yrs,07SEP2025:04:03:55,26,"219,016"
2025,1,CA,Yuba,=< 14 yrs,07SEP2025:04:03:55,10,"75,465"
2025,1,CA,Alameda,>= 65 yrs,07SEP2025:04:03:55,12555,"1,662,647"
2025,1,CA,Alpine,>= 65 yrs,07SEP2025:04:03:55,3,"1,006"
2025,1,CA,Amador,>= 65 yrs,07SEP2025:04:03:55,911,"38,522"
2025,1,CA,Butte,>= 65 yrs,07SEP2025:04:03:55,4177,"226,231"
2025,1,CA,Calaveras,>= 65 yrs,07SEP2025:04:03:55,1160,"45,558"
2025,1,CA,Colusa,>= 65 yrs,07SEP2025:04:03:55,270,"21,729"
2025,1,CA,Contra Costa,>= 65 yrs,07SEP2025:04:03:55,13258,"1,136,283"
2025,1,CA,Del Norte,>= 65 yrs,07SEP2025:04:03:55,524,"27,495"
2025,1,CA,El Dorado,>= 65 yrs,07SEP2025:04:03:55,3550,"188,491"
2025,1,CA,Fresno,>= 65 yrs,07SEP2025:04:03:55,10859,"989,136"
2025,1,CA,Glenn,>= 65 yrs,07SEP2025:04:03:55,503,"28,267"
2025,1,CA,Humboldt,>= 65 yrs,07SEP2025:04:03:55,2466,"136,041"
2025,1,CA,Imperial,>= 65 yrs,07SEP2025:04:03:55,1785,"176,081"
2025,1,CA,Inyo,>= 65 yrs,07SEP2025:04:03:55,276,"19,272"
2025,1,CA,Kern,>= 65 yrs,07SEP2025:04:03:55,10248,"889,141"
2025,1,CA,Kings,>= 65 yrs,07SEP2025:04:03:55,1381,"149,259"
2025,1,CA,Lake,>= 65 yrs,07SEP2025:04:03:55,1389,"64,223"
2025,1,CA,Lassen,>= 65 yrs,07SEP2025:04:03:55,349,"33,006"
2025,1,CA,Los Angeles,>= 65 yrs,07SEP2025:04:03:55,76729,10074537
2025,1,CA,Madera,>= 65 yrs,07SEP2025:04:03:55,1868,"154,817"
2025,1,CA,Marin,>= 65 yrs,07SEP2025:04:03:55,3426,"259,087"
2025,1,CA,Mariposa,>= 65 yrs,07SEP2025:04:03:55,330,"16,005"
2025,1,CA,Mendocino,>= 65 yrs,07SEP2025:04:03:55,1694,"86,841"
2025,1,CA,Merced,>= 65 yrs,07SEP2025:04:03:55,2833,"269,998"
2025,1,CA,Modoc,>= 65 yrs,07SEP2025:04:03:55,68,"7,849"
2025,1,CA,Mono,>= 65 yrs,07SEP2025:04:03:55,57,"12,753"
2025,1,CA,Monterey,>= 65 yrs,07SEP2025:04:03:55,3280,"419,825"
